filename,timestamp,time_taken,status,prompt_file,survey_type,isLocal,LIMIT,error
eli-kano-static-4000_llama3-8b_V8_0,2024-05-06_175853,17.875,OK,batch/prompts/eli-kano-static-4000_llama3-8b_V8_prompts.json,KanoSurvey,True,,
airidas-kano-7500_mixtral-8x22b_V7_0,2024-05-06_175911,1099.567,OK,batch/prompts/airidas-kano-7500_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
eli-kano-static-0_mixtral-8x22b_V8_1,2024-05-06_181730,101.817,OK,batch/prompts/eli-kano-static-0_mixtral-8x22b_V8_prompts.json,KanoSurvey,True,,
eli-pers-static-7500_mixtral-8x22b_V8_1,2024-05-06_181912,155.02,OK,batch/prompts/eli-pers-static-7500_mixtral-8x22b_V8_prompts.json,PersonalitySurvey,True,,
eli-pers-static-4000_llama3-8b_V8_0,2024-05-06_182147,23.292,OK,batch/prompts/eli-pers-static-4000_llama3-8b_V8_prompts.json,PersonalitySurvey,True,,
eli-kano-static-0_llama3-8b_V8_1,2024-05-06_182210,9.636,OK,batch/prompts/eli-kano-static-0_llama3-8b_V8_prompts.json,KanoSurvey,True,,
airidas-pers-7500_mixtral-8x22b_V7_2,2024-05-06_182220,1331.916,OK,batch/prompts/airidas-pers-7500_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-static-7500_llama3-70b_V8_1,2024-05-06_184432,138.516,OK,batch/prompts/eli-kano-static-7500_llama3-70b_V8_prompts.json,KanoSurvey,True,,
eli-kano-static-7500_mixtral-8x22b_V8_2,2024-05-06_184650,137.499,OK,batch/prompts/eli-kano-static-7500_mixtral-8x22b_V8_prompts.json,KanoSurvey,True,,
eli-kano-4000_mixtral-8x22b_V7_2,2024-05-06_184908,1219.626,OK,batch/prompts/eli-kano-4000_mixtral-8x22b_V7_prompts.json,KanoSurvey,True,,
airidas-pers-4000_mixtral-8x22b_V7_0,2024-05-06_190928,1475.911,OK,batch/prompts/airidas-pers-4000_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-static-4000_mixtral-8x22b_V8_0,2024-05-06_193404,116.114,OK,batch/prompts/eli-kano-static-4000_mixtral-8x22b_V8_prompts.json,KanoSurvey,True,,
eli-pers-static-4000_llama3-70b_V8_2,2024-05-06_193600,151.333,OK,batch/prompts/eli-pers-static-4000_llama3-70b_V8_prompts.json,PersonalitySurvey,True,,
eli-kano-dynamic-7500_mixtral-8x22b_V8_0,2024-05-06_193831,1189.596,OK,batch/prompts/eli-kano-dynamic-7500_mixtral-8x22b_V8_prompts.json,KanoSurvey,True,,
eli-kano-static-4000_llama3-70b_V8_0,2024-05-06_195821,130.463,OK,batch/prompts/eli-kano-static-4000_llama3-70b_V8_prompts.json,KanoSurvey,True,,
eli-pers-dynamic-7500_mixtral-8x22b_V8_2,2024-05-06_200031,1466.22,OK,batch/prompts/eli-pers-dynamic-7500_mixtral-8x22b_V8_prompts.json,PersonalitySurvey,True,,
eli-kano-static-4000_llama3-70b_V8_1,2024-05-06_202457,131.335,OK,batch/prompts/eli-kano-static-4000_llama3-70b_V8_prompts.json,KanoSurvey,True,,
eli-kano-dynamic-7500_mixtral-8x22b_V8_1,2024-05-06_202709,1215.15,OK,batch/prompts/eli-kano-dynamic-7500_mixtral-8x22b_V8_prompts.json,KanoSurvey,True,,
airidas-pers-4000_mixtral-8x22b_V7_1,2024-05-06_204724,1434.923,OK,batch/prompts/airidas-pers-4000_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
eli-kano-static-4000_mixtral-8x22b_V8_1,2024-05-06_211119,118.161,OK,batch/prompts/eli-kano-static-4000_mixtral-8x22b_V8_prompts.json,KanoSurvey,True,,
eli-pers-static-7500_llama3-70b_V8_2,2024-05-06_211317,168.951,OK,batch/prompts/eli-pers-static-7500_llama3-70b_V8_prompts.json,PersonalitySurvey,True,,
eli-kano-static-7500_llama3-70b_V8_0,2024-05-06_211606,76.031,OK,batch/prompts/eli-kano-static-7500_llama3-70b_V8_prompts.json,KanoSurvey,True,,
eli-kano-static-0_llama3-8b_V8_0,2024-05-06_211722,16.346,OK,batch/prompts/eli-kano-static-0_llama3-8b_V8_prompts.json,KanoSurvey,True,,
eli-pers-static-7500_llama3-70b_V8_1,2024-05-06_211738,121.588,OK,batch/prompts/eli-pers-static-7500_llama3-70b_V8_prompts.json,PersonalitySurvey,True,,
eli-kano-static-7500_mixtral-8x22b_V8_0,2024-05-06_211940,156.875,OK,batch/prompts/eli-kano-static-7500_mixtral-8x22b_V8_prompts.json,KanoSurvey,True,,
airidas-pers-7500_mixtral-8x22b_V7_0,2024-05-06_212217,1342.992,OK,batch/prompts/airidas-pers-7500_mixtral-8x22b_V7_prompts.json,PersonalitySurvey,True,,
eli-pers-dynamic-7500_mixtral-8x22b_V8_1,2024-05-06_214440,1457.145,OK,batch/prompts/eli-pers-dynamic-7500_mixtral-8x22b_V8_prompts.json,PersonalitySurvey,True,,
eli-kano-static-4000_llama3-70b_V8_2,2024-05-06_220857,136.66,OK,batch/prompts/eli-kano-static-4000_llama3-70b_V8_prompts.json,KanoSurvey,True,,
